date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:40:25	63191/63191	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Sep%202024%2016:48:38%20GMT	https://eliite.fun/emulaplaysg/?	X:/games/eliite.fun/emulaplaysg/indexd41d.html	(from )
12:40:25	72/72	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Oct%202024%2017:40:29%20GMT	https://eliite.fun/robots.txt		(from )
12:40:26	47762/47762	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Sep%202024%2000:27:19%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/l/DSRixY3250983.jpeg	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/l/DSRixY3250983.jpg	(from https://eliite.fun/emulaplaysg/?)
12:40:26	9018/9018	---M-Z	200	added ('OK')	text/javascript	etag:%2263fcae4d73414d38878cde6e7bb7222c%22	https://scripts.converteai.net/d4aed0fe-a6e3-4aae-9489-b7c6f7c2e9a0/players/657a80eb4c30eb00094dc901/player.js	X:/games/scripts.converteai.net/d4aed0fe-a6e3-4aae-9489-b7c6f7c2e9a0/players/657a80eb4c30eb00094dc901/player.js	(from https://eliite.fun/emulaplaysg/?)
12:40:26	678563/678563	---M-Z	200	added ('OK')	text/javascript	etag:%229879dd51b502522b40d1624fb052dc6c%22	https://scripts.converteai.net/lib/js/smartplayer/v1/smartplayer.min.js	X:/games/scripts.converteai.net/lib/js/smartplayer/v1/smartplayer.min.js	(from https://eliite.fun/emulaplaysg/?)
12:40:26	1585/1585	---M--	200	added ('OK')	image/jpeg	etag:%227641e5be69534cb508012757383027da%22	https://images.converteai.net/d4aed0fe-a6e3-4aae-9489-b7c6f7c2e9a0/players/657a80eb4c30eb00094dc901/thumbnail.jpg	X:/games/images.converteai.net/d4aed0fe-a6e3-4aae-9489-b7c6f7c2e9a0/players/657a80eb4c30eb00094dc901/thumbnail.jpg	(from https://eliite.fun/emulaplaysg/?)
12:40:27	88585/88585	---MCZ	200	added ('OK')	text/css	etag:W/%2215a09-bhLh682YP4SOXCgKt3ZJ7rROdLw%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	X:/games/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	(from https://eliite.fun/emulaplaysg/?)
12:40:27	11279/11279	---MCZ	200	added ('OK')	text/javascript	etag:W/%22eff48ccccc0d8f470b7cc59ce398e473%22	https://cdn.utmify.com.br/scripts/utms/latest.js	X:/games/cdn.utmify.com.br/scripts/utms/latest.js	(from https://eliite.fun/emulaplaysg/?)
12:40:27	132588/132588	---M--	200	added ('OK')	image/webp	date:Tue,%2024%20Sep%202024%2013:46:46%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/fJNXxW7611122.jpeg	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/fJNXxW7611122.jpeg	(from https://eliite.fun/emulaplaysg/?)
12:40:28	56065/56065	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Oct%202024%2017:40:32%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/qCCgQL3550918.jpeg	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/qCCgQL3550918.jpg	(from https://eliite.fun/emulaplaysg/?)
12:40:29	87333/87333	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Oct%202024%2017:40:33%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/l/hQcjLG1142876.jpeg	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/l/hQcjLG1142876.jpg	(from https://eliite.fun/emulaplaysg/?)
12:40:31	222875/222875	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Oct%202024%2017:40:34%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/dobIxb7358984.jpeg	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/dobIxb7358984.jpg	(from https://eliite.fun/emulaplaysg/?)
12:40:31	29084/29084	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202024%2017:40:35%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/dHPwCx8461369.png	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/dHPwCx8461369.png	(from https://eliite.fun/emulaplaysg/?)
12:40:32	26391/26391	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202024%2017:40:36%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/bYbLJt8472466.png	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/bYbLJt8472466.png	(from https://eliite.fun/emulaplaysg/?)
12:40:32	36815/36815	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202024%2017:40:36%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/GGzcbr8481722.png	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/GGzcbr8481722.png	(from https://eliite.fun/emulaplaysg/?)
12:40:33	41146/41146	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202024%2017:40:37%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/odspdn8574690.png	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/odspdn8574690.png	(from https://eliite.fun/emulaplaysg/?)
12:40:34	28464/28464	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202024%2017:40:38%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/slcFsb8605335.png	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/slcFsb8605335.png	(from https://eliite.fun/emulaplaysg/?)
12:40:34	49776/49776	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202024%2017:40:38%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/QLNJmy8584669.png	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/QLNJmy8584669.png	(from https://eliite.fun/emulaplaysg/?)
12:40:35	50236/50236	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202024%2017:40:39%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/NBbzId8625166.png	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/NBbzId8625166.png	(from https://eliite.fun/emulaplaysg/?)
12:40:36	28961/28961	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202024%2017:40:40%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/rGYvnw8634788.png	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/rGYvnw8634788.png	(from https://eliite.fun/emulaplaysg/?)
12:40:36	31525/31525	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202024%2017:40:40%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/YvIxbE8652437.png	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/YvIxbE8652437.png	(from https://eliite.fun/emulaplaysg/?)
12:40:37	28528/28528	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202024%2017:40:41%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/hIheXl8691416.png	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/hIheXl8691416.png	(from https://eliite.fun/emulaplaysg/?)
12:40:37	25923/25923	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202024%2017:40:41%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/wDRBuH8700944.png	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/wDRBuH8700944.png	(from https://eliite.fun/emulaplaysg/?)
12:40:38	74681/74681	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202024%2017:40:42%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/MrGYPX8711418.png	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/MrGYPX8711418.png	(from https://eliite.fun/emulaplaysg/?)
12:40:39	36126/36126	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202024%2017:40:43%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/lmWsPJ8729285.png	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/lmWsPJ8729285.png	(from https://eliite.fun/emulaplaysg/?)
12:40:40	22739/22739	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202024%2017:40:44%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/qJvAYr8754774.png	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/qJvAYr8754774.png	(from https://eliite.fun/emulaplaysg/?)
12:40:40	24548/24548	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202024%2017:40:44%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/CbbvMF8771281.png	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/CbbvMF8771281.png	(from https://eliite.fun/emulaplaysg/?)
12:40:41	35309/35309	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202024%2017:40:45%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/YwLHnu8834991.png	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/YwLHnu8834991.png	(from https://eliite.fun/emulaplaysg/?)
12:40:42	82918/82918	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202024%2017:40:45%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/ACPLLC8846288.png	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/ACPLLC8846288.png	(from https://eliite.fun/emulaplaysg/?)
12:40:42	46193/46193	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202024%2017:40:46%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/IHqpYj8857679.png	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/IHqpYj8857679.png	(from https://eliite.fun/emulaplaysg/?)
12:40:43	26577/26577	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202024%2017:40:47%20GMT	https://media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/hbPYeu8873296.png	X:/games/media.atomicatpages.com/u/LUxdNWVXGzNzPKHPxS2Wvk6X9Ra2/Pictures/hbPYeu8873296.png	(from https://eliite.fun/emulaplaysg/?)
